chunom,translation
母猶先為納疑帝問曰孟旺何不自來,"mẫu do tiên vi nạp, nghi đế vấn viết mạnh vượng hà bất tự lai"
奴卞逐𤤰咹梛,nó bèn giục vua ăn na
降臣盧老分𠇮𦋦󰠳,hàng thần lơ láo phận mình ra đâu?
尼漊時洡鎮襖,nơi sâu thì lội xắn áo
置雷䦕縲䦕閬䦕巡檢使,"trí lôi quan, luy quan, lãng quan, tuần kiểm sứ"
停𰿘刼𡦂情㐌丕,đành muôn kiếp chữ tình đã vậy
時帝竄居夷中圖脱虎口而已,"thời đế thoán cư di trung, đồ thoát hổ khẩu nhi dĩ"
工制樂曲號占城音其聲清怨哀傷聞者泣下,"công chế nhạc khúc hiệu chiêm thành âm kì thanh, thanh oán ai thương văn giả khấp hạ"
爫𠊛𢖵𪧚𥙩分善端,làm người nhớ giữ lấy phận thiện đoan
灰洃,hôi vôi
朶花𠖿院恪,đoá hoa rụng vườn khác
自宗室至五品官皆得轎馬紙,"tự tông thất chí ngũ phẩm quan, giai đắc kiệu mã chỉ"
雲仙𦖑呐唉喂,vân tiên nghe nói hỡi ơi
凍㝵蒸代仍噲爫墓婆阿蛮,người chưng đời những gọi làm mộ bà a man
󰞈鍾牢女咹𡎢朱安,đỉnh chung sao nỡ ăn ngồi cho an
𫮋工塵世庄管事世永永岸箕油𢚸容且,"ngồi trong trần thế, chẳng quản sự đời. vắng vắng ngạn kia, dầu lòng dong thả"
𢯢襜𨄹𨀈前堂𠑕𬂙䀡𨤔天章矧蜍,sửa xiêm dạo bước tiền đường. ngửa trông xem vẻ thiên chương thẫn thờ
擼捤撅𣰴擒蔑幹冉牟襊錦𨇜𤾓調,trỏ vẫy quạt lông cầm một cán. nhiệm mầu túi gấm đủ trăm điều
𪡉󱞮練忽洳苦辱陀改末每,"rửa ráy rén hót nhơ, khó nhọc đà cải mặt mũi"
大赦,đại xá
大越史記本紀全書卷之三,đại việt sử ký bản kỷ toàn thư quyển chi tam
密雨撫庄湄野雲𬲇退勿為隊方,mật vũ mây phủ chẳng mưa. dã vân gió thối vật vờ đòi phương
賜阮直阮如堵梁如鵠三人進士及第陳文徽等七人進士出身吳士連等二十三人同進士出身,"tứ nguyễn trực, nguyễn như đổ, lương như hộc tam nhân tiến sĩ cập đệ trần văn huy đẳng thất nhân tiến sĩ xuất thân ngô sĩ liên đẳng nhị thập tam nhân đồng tiến sĩ xuất thân"
庵𩄲涓磊𠫾󰡲油香,am mây quen lối đi về dầu hương
合台昆𡥙眉碌,hợp thay con cháu mày
油𠊛决𢚸學道𠳨朱𫨩𧤁兔󱦮蟵或仉篤志眞修䀡朱別頭𧍏𦖱螠,"dầu người quyết lòng học đạo, hỏi cho hay sừng thỏ lông rùa. hoặc kẻ dốc chí chân tu, xem cho biết đầu cua tai ếch"
盎宝主席群𠾸󱝊,áng bảo chủ tiệc còn dìu dặt
卞蒸店意班𤿰𠀧因氣𡗶䨙最𪠞典村边東,"bèn chưng đêm ấy ban trống ba, nhân khí trời dâm tối, đi đến thôn bên đông"
徒為恃險古語云在德不在險,"đồ vi thị hiểm, cổ ngữ vân tại đức bất tại hiểm"
𠦳𫷜富貴𠁀𩔰荣,ngàn năm phú quý đời hiển vinh
清明𡧲節𣈜𠀧,thanh minh giữa tiết ngày ba
𫽄𠮾拱体柑𥑥𤒙𣘃,chẳng ngọt cũng thể cam sành chín cây
女苔墮𥘷強寃托𫅷,"nỡ đày đọa trẻ, càng oan thác già"
魚翁欺𧘇哙㗍,ngư ông khi ấy hỏi han
𠹚𡢻固欺𬉌渃眜𬦳咹曾𩛷沫蒲灰,van nợ có khi tràn nước mắt. chạy ăn từng bữa mướt mồ hôi
𩈘𧡊書胡文破胆,mặt thấy thư hồ văn phá đảm
船虐些󱉿樔虐些𢶢𫽄特些𫽖樔󱚹,"thuyền ngược ta bỏ sào ngược. ta chống chẳng được, ta trở sào xuôi"
急𠾕力士𨇒𣭻,kíp đòi lực sĩ ruổi mau
拱𨇜風流拯少之,cũng đủ phong lưu chẳng thiếu chi
,thập nhị nguyệt
翁窮𦥃世催𡢼啉𠻗於𦜘𡥵㗱󰾬𠫾倍,ông cùng đến thế thôi. vợ lăm le ở vú. con tấp tểnh đi bồi
媄慈似朋怛,mẹ từ tựa bằng đất
𦗞眜𥉫𨖲𧡊榜撩,ghé mắt trông ngang thấy bảng treo
䀡厨清永空師修行,xem chùa thanh vắng không sư tu hành
口角蒙法呐岩,khẩu giác mỏng mép nói nhàm
拠冲册畧麻通,cứ trong sách lược mà thông
丸坦侯林末丐𪀄,hòn đất hầu lầm mất cái chim
𧋻湼黙油𢬣几攤,rắn nát mặc dầu tay kẻ nặn
凶興𠻵𠃣𠲔󰬥,hung hăng mắng ít giếc nhiều
臣等重在愛君盡職而已死亦何憂,"thần đẳng trọng tại ái quân, tận chức nhi dĩ, tử diệc hà ưu"
敬恭乃率將卒數千人奔入龍州又遇陳鉄伏兵截其要路,"kính cung nãi suất tướng tốt sổ thiên nhân bôn nhập long châu, hựu ngộ trần thiết phục binh tiệt kì yếu lộ"
娘浪千載壹時,nàng rằng thiên tải nhất thì
拱停責吝𡗶𧵆𡗶賖,cũng đừng trách lẫn trời gần trời xa
不分時刻兵出西都循廣平過天開𮢶山開路,"bất phân thời khắc, binh xuất tây đô tuần quảng bình, quá thiên quan, tạc sơn khai lộ"
轆轤輍𨍮,lộc lô cóc cách
吨𠳨𤶎眉󱛶𠰘呈無,chau mày chép miệng trình vô
艚空補秩𪤄河󰟯𡽫笠󱗤󰟯茹支為,"tàu không bỏ chật bãi hà. dường non lớp chớp, dường nhà chơi vơi"
至於天属天属即天武軍則禁不與入學,"chí ư thiên thuộc thiên thuộc tức thiên vũ quân, tắc cấm bất dữ nhập học"
胄破靣從行者諫不能得,"trụ phá diện, tòng hành giả gián bất năng đắc"
𠿵𠿵󰅹涓道主碎,khắn khắn nào quên đạo chúa tôi
先皇嘉其智勇度必能濟事遂以士卒二千人與之累迁至十道將軍殿前都指揮𣐳,"tiên hoàng gia kì trí dũng, độ tất năng tế sự, toại dĩ sĩ tốt nhị thiên nhân dữ chi, luỹ thiên chí thập đạo tướng quân điện tiền đô chỉ huy sứ"
招魂塟熙陵廟號睿宗〇,chiêu hồn táng hi lăng miếu hiệu duệ tông
倦與武陵侯大戰,quyện dữ vũ lăng hầu đại chiến
挑蜀󰅹欺倒蘿旗,khêu thục nào khi đảo lá cờ
朋某丕所性虎𡨺俸爫官福及時,bằng mỗ vậy thửa tính hổ giữ bổng làm quan phúc gặp thời
媄餒爫呠惜饒𠱋麻,"mẹ nuôi làm vốn, tiếc nhau ru mà"
焒香祝底㳥閉𥹰,lửa hương chốc để lạnh lùng bấy lâu
命禮部左侍郎翰林院侍讀掌翰林院事梁得朋選記,mệnh lễ bộ tả thị lang hàn lâm viện thị độc chưởng hàn lâm viện sự lương đắc bằng tuyển kí
𫪄󱛽為浽𫯳終燶󱋔,ghen tuông vì nỗi chồng chung nồng nàn
唉朱㛪妸仕𥈶性情,hãy cho êm ả sẽ nom tính tình
官員𫥨盎𪜯𧗱𥙩粮,"quan viên ra đám, lính về lấy lương"
𦝄傘辰𩅹,trăng tán thì mưa
召報工巴唐苦,chịu báo trong ba đường khổ
冲𨉓領𭛣公侯,trong mình lĩnh việc công hầu
𢯐笙玉󰋇囬空㗂,gõ sênh ngọc mấy hồi không tiếng
吏固𡨸排興國之年,lại có chữ bài hưng quốc chi niên
臣當直舘之初得預濡毫之列,"thần đương trực quán chi sơ, đắc dự nhu hào chi liệt"
誇節漏漏尼𭓇道,khoe tiết làu làu nơi học đạo
夏六月金星晝見〇,"hạ lục nguyệt, kim tinh trú hiện"
工課巴南㕵仍𫶷媄,trong thuở ba năm uống những sữa mẹ
蹎𣭻𨀈𣷭沉淪牢拱沕戈潙,chân mau bước bể trầm luân sao cũng vẫn qua vời
當干焒粓𥸷𡥵辰頺啂𫯳尋尖悲徐焒㐌𤈜𨖲𡥵㐌啂段尋尖辰尋,"đương cơn lửa tắt cơm sôi. con thì đòi bú, chồng đòi tòm tem. bây giờ lửa đã cháy lên. con đã bú đoạn, tòm tem thì tòm"
上表謝恩言奉聖論奬以效忠安邊,"thượng biểu tạ ân, ngôn phụng thánh luận tưởng dĩ hiệu trung an biên"
土人多降,thổ nhân đa hàng
蹲蹎痗𨆝唉群𢣇,chồn chân mỏi gối hãy còn ham
𣅶𠫾𥘷買台唭髦󰛈𫢩㐌𦋦𠊛𪥘傕,lúc đi trẻ mới hay cười. tóc răng nay đã ra người cả thôi
情初恩者󰒂填,tình xưa ơn giải nghĩa đền
時太原與廣西太平府州接境其鎮州,"thời thái nguyên dữ quảng tây, thái bình phủ châu tiếp cảnh kì trấn châu"
詩書宝渃簪𨁪茄,thơ thư bảo nước trâm giấu nhà
自是莫兵不敢復侵而清華乂安各處人民始得休息矣,"tự thị, mạc binh bất cảm phục xâm, nhi thanh hoa, nghệ an các xứ nhân dân thuỷ đắc hưu tức hĩ"
󰠶朝如改干愁葦𦰤囂乙如牟改撩,gió chiều như gợi cơn sầu. vi lau hiu hắt như màu gợi trêu
丿兜㐌細隣家,phút đâu đã tới lân gia
󱔲澄𧡊没文人弄𢶻𢬣叩𨀈吝𨤮冰,"trông chừng thấy một văn nhân. lỏng buông tay khấu, bước lần dặm băng"
勅至卿當體朕意以忠義激將士同心恊力議策搜捕要得逆昇正身脅從者一切不問,"sắc chí, khanh đương thể trẫm ý, dĩ trung nghĩa khích tướng sĩ đồng tâm hiệp lực, nghị sách sưu bổ yếu đắc nghịch củng, chính thân hiếp tòng giả nhất thiết bất vấn"
𦀊緣𡢐吏嫁󰡲束郎,dây duyên sau lại gả về thúc lang
黄知之率民攻殺之,"hoàng tri chi, suất dân công sát chi"
𪖫󱘉行𧜗,mũi hia hàng mã
萬一為賊所獲則彼謂擒其皇子也安知其為,vạn nhất vi tặc sở hoạch tắc bỉ vị cầm kì hoàng tử dã an tri kì vi
烏江水闊難東度赤壁風髙易北焚,"ô giang thuỷ khoát nan đông độ, xích bích phong cao dị bắc phần"
𢄂𡖡,chợ nhóm
唒胣玉肝鐄共󰑚𥾸𫆧蠶佩𤂬強𤴬,dẫu dạ ngọc gan vàng cũng rối. vấn ruột tằm bối rối càng đau
遂之奉天,toại chi phụng thiên
吻羣噡𦧘噡𥸷𣈗常粓粃妾餒戾之,vẫn còn thèm thịt thèm xôi. ngày thường cơm tẻ thiếp nuôi lệ gì
知其爲不祥乃詔改元爲洪福元年,"tri kì vi bất tường, nãi chiếu cải nguyên vi hồng phúc nguyên niên"
臣恐天下後世咸謂陰陽人為參知卜筮人為安撫,"thần khủng thiên hạ hậu thế hàm vị âm dương nhân vi tham tri, bốc phệ nhân vi an phủ"
擛威買𠰺𨷑排解𡆫,dẹp uy mới dạy mở bài giải vi
司馬光曰使是真麟非時自至不以爲瑞若僞爲遠方之笑,"tư mã quang viết sử thị chân lân, phi thời tự chí bất dĩ vi thuỵ, nhược nguỵ vi viễn phương chi tiếu"
易󰝂𤗖󰹙朱朋曷珠,dễ đem mảnh ngói cho bằng hạt châu
朋拯擺󰬲嗔傷,bằng chẳng vẫy đuôi xin thương
悲除些呐仍事伤庫欺吒末昆,bây giờ ta nói những sự thương khó khi cha mất con
麻凌昆婁,mà trừng con sâu
仍侈𡭬𬨨空𪾋䀡,những đứa bé lạ không giám xem
賛曰烝㢤聖宗丕承基緒,"tán viết thân nhân trung đẳng soạn chưng tai thánh tông, phỉ thừa cơ tự"
旬尼麻吟些吏赦些,"tuần này mà ngẫm, ta lại xá ta"
𥚆瞪柱,nhìn trừng trộ
於是奏錄舉道入仙籍,ư thị tấu lục cử đạo nhập tiên tịch
強吹𨤔月強篭牟蓮,càng sôi vẻ nguyệt càng lồng màu sen
前呼後擁秩連府廬買𤏣号畑󰑼低,tiền hô hậu ủng chật lèn. phủ lư mới tỏ hiệu đèn là đây
丿󰠲童子𪞷𫐹浪学所曳𡎥尼軒𣑯,phút đâu đồng tử ra mời. răng học thửa dạy ngồi nơi hiên đào
香強焠𢚸陀迷𬏽𦎛強𤐝淚吏珠滇,hương càng đốt lòng càng mê mải. gương càng soi lệ lại châu chan
禁戢軍士不得侵掠使民安業,"cấm tập quân sĩ bất đắc xâm lược, sử dân an nghiệp"
固宗固族駡踈台萬葉千枝𪽝蔑核,có tông có tộc mựa thưa thay. vạn diệp thiên chi bởi một cây
焒煩坤拉強挑䋦煩,"lửa phiền khôn dập, càng khêu mối phiền"
𠄩娘畧㐌沛𠫾,hai nàng trước đã phải đi
軫功赦過𢚸𠊚特安,chẩn công xá quá lòng người được an
夏五月以范阿葱為林平府知府即迤哩〇,"hạ ngũ nguyệt, dĩ phạm a song vi lâm bình phủ tri phủ tức dĩ lí"
𨔌由𣍋𩈘𨇉自𠁑,co do cúi mặt leo từ dưới
𪉽濃󰜋𨤔󰜋於平𢚸客買隨機迭迢,mặn nồng một vẻ một ưa. bằng lòng khách mới tùy cơ dặt dìu
三月帝幸五岳觀,"tam nguyệt, đế hạnh ngũ nhạc quán"
𡞕浪𬷤㐌嘅,vợ rằng gà đã gáy
胡軍揭舟自潰,hồ quân yết chu tự hội
故舜造漆噐而諫者十七人,cố thuấn tạo tất khí nhi gián giả thập thất nhân
昆悶𪠞爫福牢庄保吒尋福共,"con muốn đi làm phúc, sao chẳng bảo cha tìm phúc cùng"
𠫾皮𠬠埮賖賖,đi vừa một dặm xa xa
左相鄭松收獲其子恂快忱等皆殺之,"tả tướng trịnh tùng thu hoạch kì tử tuân, khoái, thầm, đẳng giai sát chi"
以神並育之機帝王守位以仁必敷訓錫福以示大公之道,"dĩ thần tịnh dục chi cơ đế vương thủ vị dĩ nhân, tất phu huấn tích phúc, dĩ thị đại công chi đạo"
朗胣个卞,trắng dạ cá bèn
吏封巡撫東城治民,lại phong tuần phủ đông thành trị dân
𨖅潮卅廣東於𠇍刘永福,sang chiều châu quảng đông ở với lưu vĩnh phúc
私房蓬礼突包庄堪,tư phòng buồng lẻ đột vào chẳng kham
湯餅用鉢邑頭湯𧐖湯舌點油適於,thang bính dùng bát úp đầu. thang lươn thang thịt điểm dầu thích ưa
夏四月真臘國金丁阿傳及家僮四人來附,"hạ, tứ nguyệt, chân lạp quốc kim đinh a truyền cập gia đồng tứ nhân lai phụ"
翁拱風流在渃䏧,ông cũng phong lưu tại nước da
當時文貞不遇者也所以正學見於後世姑以文貞言之其事君者必犯顔其出處也則以義造就,"đương thời văn trinh bất ngộ giả dã sở dĩ chính học kiến ư hậu thế, cô dĩ văn trinh ngôn chi kì sự quân giả tất phạm nhan kì xuất xứ dã tắc dĩ nghĩa tạo tựu"
又問曰如明年以徃予必不死則緩塟母后可也,"hựu vấn viết như minh niên dĩ vãng dư tất bất tử, tắc hoãn táng mẫu hậu khả dã"
𠡚飭爫,gắng sức làm
翁婆󰀎明呂凜建𪮙沒㝵𡛔卒冷麻𡠣朱,"ông bà ấy mừng rỡ lắm, kén chọn một người gái tốt lành mà cưới cho"
欺挹槾揞𣑯閣月,khi ấp mận ôm đào gác nguyệt
衣舍人體察檢󰁮治罪,y xá nhân thể sát kiểm cử trị tội
船固󰬯頭,thuyền có vẽ đầu
語園文裊意羅,ngỡ vườn văn nẻo ấy là
渃冲𣳮𫆧瀝澜,nước trong rửa ruột sạch trơn
帝即移舟問太師陳守度,đế tức di chu vấn thái sư trần thủ độ
󱋨唏猛恩𠫅自𫏾,"nức hơi mạnh, ơn dày từ trước"
蒸默𢲨蔞藻,chưng mặc hái rau tảo
捲餅𩛄卷共羅𩛄多,quyển bính bánh cuốn cùng là bánh đa
第四隊中區大營節制鄭松親督中軍兵馬二萬,"đệ tứ đội trung khu đại dinh, tiết chế trịnh tùng thân đốc trung quân binh mã nhị vạn"
句文得意停㧪𭡏󱋓𨢇𣟮媒𠤆屹岣,câu văn đắc ý đừng nguây nguẩy. chén rượu mềm môi chớ gật gù
𬷤嘵喔嘅霜𠄼𪔠,gà eo óc gáy sương năm trống
𩶪鱩鯱鯁𩹹鮋𫃚絁𬗢𦀎論都𦋦𠓨,cháy trôi hố ngạnh giếc rô. vóc the là lượt rộn đua ra vào
𣳮空世俗常情,rửa không thế tục thường tình
還留降将阮凱康鎮守以招集人民,"hoàn, lưu hàng tướng nguyễn khải khang trấn thủ dĩ chiêu tập nhân dân"
𡧲固蔑塸,giữa có một khu nhà tranh
世界冬𢧚玉蔑瓢,thế giới đông nên ngọc một bầu
吟𧋆󰅹折鉢戊丸,ngẫm ruồi nào chết bát mồ hòn
腒󰑼𦧘𪀄𤇨枯,cư là thịt chim phơi khô
統阮五年為登庸所殺,"thống nguyễn ngũ niên, vị đăng dung sở sát"
𠸦埃窖撻景招蹽,khen ai khéo đặt cảnh treo leo
窖唭鮮喟𠰘丕𡨧昆𪾺󰏙分明丕,khéo cười tươi môi miệng vậy. tốt con mắt xem phân minh vậy
吏旦吝次𠀧,lại đến lần thứ ba
強𥚆𨤔玉強醝曲凰,càng nhìn vẻ ngọc càng say khúc vàng
振剛風於槁葉,chấn cương phong ư cảo diệp
𩈘砥,mặt đe
𡥵尋媄媄尋𡥵,"con tìm mẹ, mẹ tìm con"
杜達末淩麻咯,dỗ thét mắt trừng mà lác sao chẳng vội [sớm
自女工婦巧調𢢯,"từ nữ công, phụ xảo đều nguôị"
㳥湎𡽫撑𣘃𢫝征𥒥搊溋泊渃󰍡玲,sóng dợn non xanh cây chống chếnh. đá xô duềnh bạc nước long lanh
刼功吒媄舌𠁀聰明,cướp công cha mẹ thiệt đời thông minh
𠇮猉肝𧑂典㙴停真,mình cầy gan cáy đến thềm dừng chân
祿寺卿同知經筵事武永寕翰林院直𭓇士阮德貞郭廷寶讀卷,"lộc tự khanh đồng tri kinh diên sự vũ vĩnh ninh hàn lâm viện trực học sĩ nguyễn đức trinh, quách đình bảo độc quyển"
役𤾓𫷜渚呐之葚𠳒,việc trăm năm chớ nói chi rậm lời
特势渚奚脅捉,được thế chớ hề hiếp tróc
辝氣自若不卑主為跖不諂我為堯,"từ khí tự nhược, bất ti chủ vi chích, bất siểm ngã vi nghiêu"
駡遣𠅜䔲体𪢍,mựa khiến lời đắng thấy ghét
乙酉天感聖武二年宋慶曆五年,"ất dậu, thiên cảm thánh vũ nhị niên, tống khánh lịch ngũ niên"
直收一旦之功思雪百王之耻,"trực thu nhất đán chi công, tư tuyết bách vương chi xỉ"
