Codepoint,Character,kDefinition
U+63A4,掤,quiver; (Cant.) to pull on something
U+63A5,接,receive; continue; catch; connect
U+63A6,掦,to take up; to put by
U+63A7,控,"accuse, charge; control"
U+63A8,推,"push, expel; push forward"
U+63A9,掩,"to cover (with the hand); shut, conceal; ambush"
U+63AA,措,"place; collect, arrange; employ"
U+63AB,掫,be on night watch; grasp
U+63AC,掬,to grasp or hold with both hands
U+63AD,掭,to manipulate; a pricker for a lamp-wick
U+63AE,掮,to bear on the shoulders
U+63AF,掯,"oppress, extort, take by force"
U+63B0,掰,"(Cant.) to tear, to rip"
U+63B1,掱,pickpocket
U+63B2,掲,"to set (a table); to install, equip; to lay (a foundation)"
U+63B3,掳,"capture, seize"
U+63B4,掴,"box one's ears, slap"
U+63B7,掷,"throw, hurl, cast, fling"
U+63B8,掸,to dust; a duster
U+63B9,掹,"(Cant.) to pluck, to pull"
U+63BA,掺,"mix, blend, adulterate"
U+63BB,掻,scratch lightly
U+63BC,掼,"throw ground; know, be familiar"
U+63BD,掽,collide; meet unexpectedly
U+63BE,掾,a general designation of officials
U+63C0,揀,choose; select; pick up; gather
U+63C1,揁,sound of setting up a koto
U+63C3,揃,shear; (Cant.) to skin an animal
U+63C4,揄,"lift, raise; praise; hang; flap"
U+63C5,揅,"grind, rub; study, research; (Cant.) to play a stringed instrument"
U+63C6,揆,"prime minister; to guess, estimate"
U+63C7,揇,(Cant.) to measure a distance with the extended thumb and forefinger or middle finger
U+63C8,揈,to expel
U+63C9,揉,"rub, massage; crush by hand"
U+63CC,揌,to shake
U+63CD,揍,"hit, beat; smash, break"
U+63CE,揎,to pull up the sleeves and stretch out the arms; to strike with bare fists
U+63CF,描,"copy, trace, sketch; depict"
U+63D0,提,hold in hand; lift in hand
U+63D1,揑,to fabricate; to trump up
U+63D2,插,"insert, stick into; plant"
U+63D4,揔,"collect; overall, altogether"
U+63D5,揕,"roll up the sleeves; fight bare-fisted; strike, stab"
U+63D6,揖,"salute, bow; defer to, yield"
U+63D7,揗,"strike, hit with hand; tap; (Cant.) to be frightened; to move to and fro"
U+63DA,揚,"scatter, spread; praise"
U+63DB,換,"change, exchange; substitute"
U+63DC,揜,"cover up; take by force, shut"
U+63DD,揝,"to hold in the hand, to grasp; to wring"
U+63DE,揞,to cover (with the hand)
U+63E0,揠,"to pull up, to eradicate"
U+63E1,握,"grasp, hold fast, take by hand"
U+63E2,揢,"to seize; (Cant.) to block, obstruct"
U+63E3,揣,put things under clothes
U+63E5,揥,scratcher
U+63E6,揦,to clutch; to grab at; to rub or scrape; to tear; (Cant.) to scratch; to feel around with the hand
U+63E9,揩,"rub and wipe, dust, clean"
U+63EA,揪,"grasp with hand, pinch"
U+63EB,揫,"grasp with hand, pinch"
U+63EC,揬,(Cant.) lay up; sit
U+63ED,揭,"raise, lift up; surname"
U+63EE,揮,direct; wipe away; squander
U+63EF,揯,"(Cant.) tight, distended"
U+63F0,揰,to push in or poke out; a punch; (Cant.) to collide
U+63F2,揲,to sort out the stalks used in divination; to fold
U+63F3,揳,wipe; estimate
U+63F4,援,"aid, assist; lead; cite"
U+63F5,揵,carry
U+63F6,揶,"make fun of, ridicule"
U+63F7,揷,insert
U+63F8,揸,"handful; to grasp, seize, pick up with fingers; (Cant.) to take, carry"
U+63F9,揹,carry things on one's back
U+63FA,揺,"wag, swing, wave; shake; scull"
U+63FC,揼,"(Cant.) to delay, waste time; to throw down, beat; to hang down"
U+63FD,揽,"grasp, take hold of; monopolize"
U+63FE,揾,wipe off; press down with knuckle
U+63FF,揿,press
U+6400,搀,give helping hand
U+6401,搁,"place, put, lay down; delay"
U+6402,搂,"hug, embrace; drag, pull"
U+6403,搃,"all, general; to summarize; the chief; to manage"
U+6405,搅,"disturb, agitate, stir up"
U+6406,搆,"pull, drag; reach; implicate"
U+6407,搇,"to press down with the hand; to lead on; (Cant.) to cover, close up"
U+6409,搉,knock; pick out; ridicule
U+640A,搊,pluck
U+640B,搋,to thump
U+640C,搌,to wipe tears; to bind
U+640D,損,diminish; impair; injure; hexagram ䷨
U+640E,搎,to rub with the hand; to stroke
U+640F,搏,seize; spring upon; strike
U+6410,搐,"cramp, spasm, convulsion; twitch"
U+6412,搒,pole; beat
U+6413,搓,to rub or roll between the hands
U+6414,搔,to scratch
U+6415,搕,to strike; to take in the hand
U+6416,搖,"wag, swing, wave; shake; scull"
U+6417,搗,"hull; thresh; beat, attack"
U+6418,搘,prop
U+6419,搙,to handle; to play with
U+641B,搛,to pick up with chopsticks
U+641C,搜,"search, seek; investigate"
U+641E,搞,"to clear, clarify"
U+6420,搠,to daub; to thrust
U+6421,搡,to push over or push back
U+6422,搢,to stick into; to shake
U+6423,搣,"(Cant.) to tear, peel, twist with the fingers"
U+6424,搤,seize
U+6425,搥,"beat, pound, strike, throw; shampoo"
U+6426,搦,"grasp, seize, take in hand"
U+6427,搧,fan; strike on face; stir up
U+6428,搨,"rub, make rubbings of inscription"
U+642A,搪,"ward off, evade; parry; block"
U+642B,搫,"to move, remove, transport"
U+642C,搬,"transfer, move, remove, shift"
U+642D,搭,"join together, attach to; add to"
U+642F,搯,"take out, pull out"
U+6430,搰,dig; turbid; exert; (Cant.) to shake
U+6432,搲,"to seize, to grasp"
U+6433,搳,boxing; a finger-guessing game
U+6434,搴,extract; seize; pluck up
U+6435,搵,"wipe off; press down with knuckle; to immerse; (Cant.) to search, look for"
U+6436,搶,"plunder, rob, take by force"
U+6437,搷,to beat; to winnow
U+643A,携,"lead by hand, take with; carry"
U+643D,搽,"smear; rub, wipe; anoint"
U+643E,搾,"to crush with the hand, press, squeeze, extract"
U+6440,摀,to cover with the hand; to hide
U+6441,摁,to press with the hand
U+6442,摂,"take in, absorb; act as deputy"
U+6444,摄,"take in, absorb; act as deputy"
U+6445,摅,"spread, disperse; vent, set forth"
U+6446,摆,"put, place; display; swing, sway"
U+6447,摇,"wag, swing, wave; shake; scull"
U+6448,摈,"exclude, expel, reject; usher"
U+644A,摊,"spread out, open; apportion"
U+644B,摋,to strike with the hand
U+644E,摎,to strangle; to inquire into
U+644F,摏,pound; strike against; ram; (Cant.) to hit with the elbow
U+6450,摐,to hit (a bell or drum)
U+6451,摑,"box one's ears, slap"
U+6452,摒,"expel, cast off; arrange"
U+6454,摔,"fall to the ground; stumble, trip"
U+6455,摕,(Cant.) to hit
U+6458,摘,"pluck, pick; select; specify"
U+6459,摙,to transport; to remove to take; (Cant.) to pinch; to tidy up
U+645A,摚,(Cant.) to pull open (a drawer)
U+645B,摛,"to spread (name, news); to be known"
U+645C,摜,"throw ground; know, be familiar"
U+645D,摝,"to move, roll, rattle, shake"
U+645E,摞,to pile up
U+645F,摟,"hug, embrace; drag, pull"
U+6460,摠,general
U+6461,摡,to irrigate; to flood water flowing; to scour
U+6463,摣,a handful. to pick up with the fingers. to seize
U+6466,摦,wide
U+6467,摧,"destroy, break, injure"
U+6469,摩,"rub, scour, grind; friction"
U+646D,摭,"pick up, gather"
U+646E,摮,to rattle; to shake. to smite
U+646F,摯,"sincere, warm, cordial; surname"
U+6470,摰,to seize with the hand; to grasp; to advance; to break down
U+6471,摱,"(Cant.) to climb, hold on to, cling to; to pull the trigger on a gun"
U+6472,摲,raze
U+6473,摳,"raise, lift up; tight-fisted"
U+6474,摴,"to stretch out, to unroll; comfortable, easy (same as 舒); 摴蒲 is the name of a traditional play"
U+6475,摵,"(Cant.) to pull, lift up"
U+6476,摶,roll around with hand; model
U+6477,摷,"(Cant.) to search for, look for; to beat up"
U+6478,摸,gently touch with hand; caress
U+6479,摹,"trace, copy, duplicate; pattern"
U+647A,摺,"fold, bend; twisted, curved"
U+647B,摻,"a delicate hand; mix, blend, adulterate"
U+647C,摼,"(Cant.) to knock, hit"
U+647D,摽,throw out; push out; strike
U+6482,撂,"put down, put aside; drop"
U+6483,撃,"strike, hit, beat; attack, fight"
U+6484,撄,"oppose, offend, run counter to"
U+6485,撅,"protrude; snap, break; dig"
U+6486,撆,"to skim off, cast away"
U+6487,撇,"discard, abandon, throw away"
U+6488,撈,"scoop out of water; dredge, fish"
U+6489,撉,"to squat, crouch"
U+648A,撊,fierce; wrathful
U+648B,撋,to rub between the hands
U+648D,撍,"to hold in the hand, to grasp; to wring; (Cant.) to pull out"
U+648F,撏,"pull out, pluck; take hold of"
U+6490,撐,"prop up, support; brace; to push off (with a pole)"
U+6491,撑,"prop up, support; brace"
U+6492,撒,"release, cast away, let go; disperse; relax"
U+6493,撓,"scratch; disturb, bother; submit"
U+6495,撕,"rip, tear; buy cloth"
U+6496,撖,surname
U+6498,撘,"(Cant.) to strike, pound"
U+6499,撙,"economize; abide by, comply with"
U+649A,撚,"twirl in fingers, tease, toy with"
U+649D,撝,"wave, brandish; modest, humble"
U+649E,撞,"knock against, bump into, collide"
U+649F,撟,correct; to bend or twist; to feign; to raise (the hand)
U+64A2,撢,to dust; a duster
U+64A3,撣,to dust; a duster
U+64A4,撤,omit; remove; withdraw
U+64A5,撥,"move; dispel; distribute; plectrum, play stringed instrument"
U+64A6,撦,"rip up, tear down; raise; haul"
U+64A9,撩,"lift up, raise; leave, depart"
U+64AB,撫,"pat, console, comfort; pacify"
U+64AC,撬,"lift, raise; pry open"
U+64AD,播,"sow, spread; broadcast; cast away, reject"
U+64AE,撮,"little bit, small amount, pinch"
U+64B0,撰,"compose, write, compile"
U+64B1,撱,"to shorten, to clip; to throw away"
U+64B2,撲,"pound, beat, strike; attack"
U+64B3,撳,press; push
U+64B4,撴,to jolt; to thump
U+64B5,撵,"drive away, expel, oust"
U+64B7,撷,"pick up, gather up; hold in lap"
U+64B9,撹,"disturb, agitate, stir up"
U+64BA,撺,hurry; to throw; to urge
U+64BB,撻,"flog, whip; chastise; (Cant.) classifier for places; a tart (from the English 'tart')"
U+64BC,撼,"move, shake; (Cant.) to fight"
U+64BD,撽,"to strike, attack"
U+64BE,撾,to beat; to strike
U+64BF,撿,to pick up
U+64C0,擀,roll flat
U+64C1,擁,"embrace, hug, squeeze; crowd"
U+64C2,擂,"rub, grind; grind with a mortar and pestle; triturate"
U+64C3,擃,"to ward off; to stab, prick"
U+64C4,擄,"capture, seize"
U+64C5,擅,monopolize; claim; arbitrarily; to dare
U+64C7,擇,"select, choose, pick out"
U+64C9,擉,to pierce; to break through
U+64CA,擊,"strike, hit, beat; attack, fight"
U+64CB,擋,to obstruct; shut out; shelter from; keep off; stop; resist
U+64CD,操,"conduct, run, control, manage"
U+64CE,擎,"lift up, hold up, support"
U+64CF,擏,"(Cant.) to guard against, take precautions"
U+64D0,擐,to put on
U+64D2,擒,"catch, capture, seize, arrest"
U+64D3,擓,"to rub, to scratch"
U+64D4,擔,"carry, bear, undertake"
U+64D5,擕,"to lead by the hand; take, carry"
U+64D6,擖,scrape
U+64D7,擗,to beat the breast
U+64D8,擘,"thumb; break, tear open, rip"
U+64D9,擙,to reach
U+64DA,據,"to occupy, take possession of; a base"
U+64DC,擜,to beat; to strike; to attack
U+64DD,擝,(Cant.) to pull; to stretch; to pluck
U+64DE,擞,"shake, tremble, quake; flutter"
U+64E0,擠,"crowd, squeeze, push against"
U+64E1,擡,"carry, raise, lift"
U+64E2,擢,"pull up, draw up; select"
U+64E3,擣,"hull; thresh; beat, attack"
U+64E4,擤,to blow the nose with fingers
U+64E5,擥,"drive away, expel, oust"
U+64E6,擦,"wipe, scrub, rub, scour; brush"
U+64E7,擧,"raise, lift up; recommend"
U+64E9,擩,"to stain, to dye"
U+64EA,擪,"to tuck in, to put the finger into, to put in, to stow away"
U+64EB,擫,tuck; hold
U+64EC,擬,"draft; intend, plan, propose"
U+64ED,擭,"trap catch animals, snare; seize"
U+64EF,擯,"exclude, expel, reject; usher"
U+64F0,擰,"pinch; twist, wring; determined"
U+64F1,擱,"place, put, lay down; delay"
U+64F2,擲,"throw (down), hurl, cast, fling"
U+64F3,擳,(Cant.) to squeeze out; tickle
U+64F4,擴,"expand, enlarge, stretch"
U+64F5,擵,"to touch, feel with the hand"
U+64F7,擷,"pick up, gather up; hold in lap"
U+64F8,擸,"to hold, to grasp; to hold the hair; to pull at; (Cant.) to glance"
U+64FA,擺,"put, place; display; swing, sway"
U+64FB,擻,"shake, tremble, quake; flutter"
U+64FD,擽,"tickle; ticklish, funny"
U+64FE,擾,"disturb, annoy, agitate"
U+64FF,擿,"to select, to pick out from, to discard"
U+6500,攀,climb; pull; hang on to
U+6502,攂,to beat a drum
U+6503,攃,preceding
U+6504,攄,"spread, disperse; vent, set forth"
U+6505,攅,"save, hoard"
U+6506,攆,"drive away, expel, oust"
U+6509,攉,to beckon; to urge
U+650B,攋,"to clutch; to grab at; to rub or scrape; to tear; (Cant.) to leave behind, omit"
U+650F,攏,"collect, bring together"
U+6512,攒,"save, hoard"
U+6514,攔,"obstruct, impede, bar, hinder"
U+6516,攖,"oppose, offend, run counter to"
U+6518,攘,"seize, take by force; repel"
U+6519,攙,"to give a helping hand; to support, hold up"
U+651B,攛,hurry; to throw; to urge; (Cant.) to seduce
U+651C,攜,"lead by hand, take with; carry"
U+651D,攝,"take in, absorb; act as deputy; administer, assist"
U+651E,攞,"to split, to rend; to choose to rub, to wipe"
U+651F,攟,"to pick up, collect"
U+6522,攢,"save, hoard"
U+6523,攣,tangled; entwined; crooked
U+6524,攤,"spread out, open; apportion"
U+6525,攥,(coll.) hold; grip; grasp
U+6527,攧,"to stumble, slip, fall down"
U+6529,攩,to obstruct; shut out; shelter from; keep off; stop; resist
U+652A,攪,"disturb, agitate, stir up"
U+652B,攫,"snatch away, seize; catch with"
U+652C,攬,"grasp, take hold of; monopolize"
U+652E,攮,to fend off; to stab
U+652F,支,"disperse, pay; support; branch"
U+6530,攰,totally exhausted
U+6532,攲,up; uneven
U+6534,攴,"rap, tap lightly; Kangxi radical 66"
U+6535,攵,"rap, tap; radical number 66"
U+6536,收,"gather together, collect; harvest"
U+6537,攷,"examine, test; investigate"
U+6538,攸,"distant, far; adverbial prefix"
U+6539,改,"change, alter; improve, remodel"
U+653B,攻,"attack, assault; criticize"
U+653D,攽,"to divide, allot; to send to"
U+653E,放,"put, release, free, liberate"
U+653F,政,"government, political affairs"
U+6541,敁,"to weigh in the hand, to estimate; to shake"
U+6542,敂,deduct
U+6543,敃,strong; robust; vigorous
U+6544,敄,to put forth effort
U+6545,故,"ancient, old; reason, because"
U+6548,效,"result, effect; effectiveness"
U+6549,敉,"pacify, soothe, stabilize"
U+654B,敋,to strike
U+654C,敌,"enemy, foe, rival; resist"
U+654D,敍,"express, state, relate, narrate"
U+654E,敎,teach
U+654F,敏,"fast, quick, clever, smart"
U+6551,救,"save, rescue, relieve; help, aid"
U+6554,敔,gavel
U+6555,敕,an imperial order or decree
U+6556,敖,"ramble, play about; leisurely; surname"
U+6557,敗,"be defeated, decline, fail"
U+6558,敘,"express, state, relate, narrate"
U+6559,教,"teach, class"
U+655A,敚,"take by force, rob"
U+655B,敛,"draw back, fold back; collect"
U+655C,敜,fill up
U+655D,敝,"break, destroy; broken, tattered"
U+655E,敞,"roomy, spacious, open, broad"
U+6560,敠,to weigh; cut; come without being invited
U+6561,敡,rebuke
U+6562,敢,"to dare, venture; bold, brave"
U+6563,散,"scatter, disperse, break up"
U+6566,敦,"esteem; honest, candid, sincere"
U+6567,敧,to pick up thing with chopsticks or pincers.
U+6569,敩,"teach, instruct; be aroused; awake; intelligent"
U+656A,敪,to weigh; cut; come without being invited
U+656B,敫,ancient musical instrument
U+656C,敬,"respect, honor; respectfully"
U+656D,敭,"scatter, spread; praise; raise"
U+656F,敯,"to defy, dare; strong; to suffocate"
U+6570,数,"number; several, count; fate"
U+6572,敲,"strike, beat, pound, hammer; rap"
U+6573,敳,to govern forcefully
U+6574,整,"orderly, neat, tidy; whole"
U+6575,敵,"enemy, foe, rival; resist"
U+6577,敷,"spread, diffuse; apply, paint"
U+6578,數,number; several; count; fate
U+6579,敹,to sew; keep tidy and repaired
U+657A,敺,"expel, drive away; beat, assault"
U+657B,敻,"long, faraway; pre-eminent"
U+657D,敽,bind
U+657E,敾,to rule
U+657F,敿,bind
U+6581,斁,dislike; be weary of; explain
U+6582,斂,"draw back, fold back; collect"
U+6583,斃,kill; die violent death
U+6585,斅,"teach, instruct; be aroused; awake; intelligent"
U+6586,斆,"teach, instruct; be aroused; awake; intelligent"
U+6587,文,"literature, culture, writing"
U+6588,斈,"learning, knowledge; school"
U+6589,斉,"even, uniform, of equal length"
U+658B,斋,vegetarian diet; study
U+658C,斌,"refined, having both appearance"
U+658D,斍,"to perceive, feel"
U+658E,斎,vegetarian diet; study
U+6590,斐,"graceful, elegant, beautiful"
U+6591,斑,"mottled, striped, freckle"
U+6592,斒,variegated; striped; marbled
U+6593,斓,multicolored
U+6595,斕,multicolored
U+6597,斗,"a dipper; unit of volume (ten 升 or litres); Kangxi radical 68; 8th lunar mansion, determinative star φ Sagittarii"
U+6599,料,"consider, conjecture; materials, ingredients"
U+659A,斚,"a small cup of stone with ears, used in ancient times for libations"
U+659B,斛,dry measure equal to some five or ten dou (see 舒)
U+659C,斜,"slanting, sloping, inclined"
U+659D,斝,small jade wine cup
U+659E,斞,a stack of grain; a measure of 16 dou3
U+659F,斟,to pour wine or tea into a cup; to gauge
U+65A0,斠,measure
U+65A1,斡,"revolve, rotate, turn"
U+65A4,斤,"a catty (approximately 600 g); an axe; keen, shrewd; Kangxi radical 69"
U+65A5,斥,"to scold, upbraid, accuse, reproach"
U+65A7,斧,"axe, hatchet; chop, hew"
U+65A8,斨,axe
U+65A9,斩,"cut, chop, sever; behead"
U+65AB,斫,"cut, chop, lop off"
U+65AC,斬,"cut, chop, sever; behead"
U+65AD,断,"sever, cut off; interrupt"
U+65AE,斮,cut off
U+65AF,斯,"this, thus, such; to lop off; emphatic particle"
U+65B0,新,"new, recent, fresh, modern"
U+65B2,斲,"cut, chop, hack"
U+65B4,斴,the sound of water flowing among rocks
U+65B5,斵,to cut to pieces; to hack; to chop or hew; to carve for ornaments
U+65B6,斶,used in personal names
U+65B7,斷,"sever, cut off; interrupt"
U+65B8,斸,cut
U+65B9,方,"a square, rectangle; a region; local"
U+65BC,於,"in, at, on; interjection alas!"
U+65BD,施,"grant, bestow; give; act; name"
U+65BE,斾,a pennon; a streamer
U+65BF,斿,to swim; to move or rove freely
U+65C0,旀,place name
U+65C1,旁,"side; by side, close by, near"
U+65C2,旂,flag
U+65C3,旃,silk banner with bent pole
U+65C4,旄,a kind of ancient flag; old
U+65C5,旅,"trip, journey; travel; traveler; hexagram ䷷"
U+65C6,旆,"flag ornament; flags, banners"
